Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,6,,,,,,,,,,,,,,,,,,,,
Start Time,4:33:10.9 PM,,,,,,,,,,,,,,,,,,,,
End Time,4:44:18.3 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:11:07.3,,,,,,,,,,,,,,,,,,,,
Distance,2824 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
115,4:37:30.5 PM,0:01:54.182000,27,4.38,9.4,286,636,665,-15.4,47.8,86.9,66.2,-56.9,29.9,11.2,9.4,656,0.976,,43.9,56.1
116,4:37:32.7 PM,0:01:54.372000,26.7,4.37,9.9,261,587,610,-10.7,52.5,89.1,65.1,-57.4,31.7,13.2,10.8,670,0.945,,42,58
117,4:37:35.0 PM,0:01:54.594000,28.2,4.36,9.6,267,568,627,-16.5,46.8,87.5,65.3,-57.4,30.1,12.5,9.7,757,0.869,,40.8,59.2
118,4:37:37.1 PM,0:01:53.996000,27.2,4.39,9.4,265,584,594,-9.5,53.7,88,66.1,-56.7,31.3,12.1,9.7,685,0.913,,41.4,58.6
119,4:37:39.3 PM,0:01:54.716000,27.2,4.36,9.2,264,583,645,-13.4,50.1,87.3,64.4,-57.2,30.1,13.5,9.5,717,0.869,,39.4,60.6
120,4:37:41.5 PM,0:01:55.316000,26,4.34,10,258,596,639,-10.6,53.7,85.7,66,-56.6,29.1,12.1,7.6,695,0.974,,42.1,57.9
121,4:37:43.8 PM,0:01:57.151000,28.6,4.27,9.1,269,564,594,-17.6,44.2,87.4,62.9,-56.2,31.3,14.6,9.9,673,0.989,,47.1,52.9
122,4:37:45.9 PM,0:01:57.134000,26,4.27,10.3,245,567,617,-10.6,51.8,86.5,60.8,-55.4,31.1,14.4,11.3,711,1.051,,45.5,54.5
123,4:37:48.2 PM,0:01:56.324000,26.8,4.3,9.4,232,519,599,-5.2,59.3,84,62.1,-55,29,13.8,8.1,700,0.946,,42.3,57.7
124,4:37:50.4 PM,0:01:57.846000,28,4.24,8.8,265,569,609,-18.8,43.5,86,61.9,-56.2,29.8,14.3,9.8,643,0.886,,41.3,58.7
125,4:37:52.6 PM,0:01:58.191000,26.9,4.23,9.3,257,575,642,-14.9,47.2,87.7,61.1,-56.2,31.4,15.8,10.8,629,0.973,,43.6,56.4
126,4:37:54.8 PM,0:01:58.195000,26.5,4.23,10.3,239,541,607,-15.5,48,86.3,64,-56.9,29.4,12,10.3,626,1.05,,46.3,53.7
127,4:37:57.1 PM,0:01:57.413000,26.7,4.26,9.6,223,502,602,-13.9,49,88,58.2,-57,31,18.1,11.7,658,0.915,,40.7,59.3
128,4:37:59.3 PM,0:01:55.622000,27.2,4.32,9.4,233,513,607,-10.6,53,88.6,61.3,-57.5,31.1,16.9,10.4,677,1.02,,46.3,53.7
129,4:38:01.5 PM,0:01:55.395000,27.8,4.33,9,261,564,579,-7.7,55.6,92.2,64.3,-58.9,33.3,14.4,13.5,584,1.064,,49.3,50.7
130,4:38:03.7 PM,0:01:56.294000,27.6,4.3,9.3,255,555,610,-17.6,42.9,88.6,61.2,-55.7,32.9,15.3,12.1,688,0.899,,41.3,58.7
131,4:38:05.9 PM,0:01:58.270000,27.4,4.23,9.5,266,583,649,-17.7,44.5,85.8,62.6,-55.9,29.9,13.9,9.2,745,0.884,,40.4,59.6
132,4:38:08.1 PM,0:01:57.914000,26.8,4.24,9.4,272,609,642,-11,53.2,87.1,66.1,-57.3,29.8,12.8,8.3,643,0.946,,42.3,57.7
133,4:38:10.3 PM,0:01:58.717000,27.6,4.21,9,283,614,641,-10.7,51.2,88.9,65.2,-56.3,32.6,12.4,11.2,648,0.914,,42.1,57.9
134,4:38:12.5 PM,0:01:58.421000,26,4.22,9.9,255,589,619,-8.5,55.5,87.5,66.3,-57.1,30.4,13.3,7.9,665,1.078,,46.6,53.4
135,4:38:14.8 PM,0:01:57.264000,27.7,4.26,9.6,278,601,622,-16.7,45.7,87.8,65.1,-56.9,30.9,11.9,10.8,665,0.933,,43.1,56.9
