Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,8,,,,,,,,,,,,,,,,,,,,
Start Time,5:09:18.5 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:21:17.5 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:11:59.0,,,,,,,,,,,,,,,,,,,,
Distance,3004 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
92,5:12:22.6 PM,0:02:05.157000,28.8,3.99,8.4,190,396,450,-18.8,39.8,86.1,55.4,-53.1,33.1,12,18.7,631,1.051,,50.4,49.6
93,5:12:24.7 PM,0:02:06.254000,29.8,3.96,7.8,151,305,379,-12.6,46.2,87.2,47,-52.9,34.3,16.3,23.9,625,0.991,,49.3,50.7
94,5:12:26.7 PM,0:02:06.625000,28.6,3.95,8,176,370,449,-20.7,39,89.2,53.4,-55.4,33.8,14.8,21,628,0.958,,45.7,54.3
95,5:12:28.8 PM,0:02:07.222000,29.4,3.93,7.9,206,420,454,-19.4,40.2,88.7,57.1,-55.1,33.6,12.4,19.1,622,1.017,,49.9,50.1
96,5:12:30.8 PM,0:02:08.293000,29,3.9,8.5,204,423,480,-18.7,42.3,87.6,56.9,-55.7,31.8,11.6,19.1,630,0.989,,47.8,52.2
97,5:12:32.9 PM,0:02:06.058000,30.3,3.97,8.3,191,378,448,-20.4,42.8,91.6,52.1,-59.6,32,16.9,22.6,628,0.959,,48.4,51.6
98,5:12:34.9 PM,0:02:04.753000,29.4,4.01,8.4,147,299,371,-23.1,36.7,87.8,48.3,-55.3,32.4,14.9,24.5,639,1.053,,51.6,48.4
99,5:12:36.9 PM,0:02:02.783000,29.9,4.07,8.2,189,380,433,-14.3,46,85.8,52.9,-53.8,32,15.4,17.5,616,0.958,,47.7,52.3
100,5:12:38.9 PM,0:02:02.382000,29.8,4.09,8.2,234,470,546,-18.4,42.3,88.9,57.5,-56,32.9,13.5,18,576,0.946,,47,53
101,5:12:40.9 PM,0:02:03.888000,29.2,4.04,8.5,200,410,474,-16.6,43.1,86.6,56.4,-53.9,32.7,12.3,17.9,627,1.02,,49.7,50.3
102,5:12:43.0 PM,0:02:03.732000,30.1,4.04,8.2,212,423,470,-18,42.1,87.9,56.8,-55,32.9,12.6,18.5,619,0.973,,48.8,51.2
103,5:12:45.0 PM,0:02:03.951000,29.9,4.03,8.1,136,274,326,-10.6,47.8,85.8,43.7,-51.6,34.1,19.7,22.3,648,0.929,,46.2,53.8
104,5:12:47.0 PM,0:02:04.072000,29.4,4.03,8.2,159,325,399,-24.9,36.1,91.1,50.3,-57.7,33.3,17.9,22.8,614,0.945,,46.3,53.7
105,5:12:49.0 PM,0:02:03.276000,29.2,4.06,8.3,223,458,517,-16.1,44.7,89.6,55.9,-56.1,33.4,13,20.7,623,1.018,,49.6,50.4
106,5:12:51.1 PM,0:02:03.418000,29.4,4.05,8.2,207,422,479,-18.5,41,86.1,55.2,-53.7,32.3,12.7,18.1,590,0.961,,47.1,52.9
107,5:12:53.1 PM,0:02:03.379000,29.2,4.05,8.1,210,431,489,-19,40.7,86.5,55,-54.2,32.3,13,18.5,658,0.989,,48.1,51.9
108,5:12:55.2 PM,0:02:04.195000,29.8,4.03,7.9,220,443,503,-18.4,42,89.2,56.1,-55.9,33.3,14.1,19,606,0.946,,47,53
109,5:12:57.2 PM,0:02:04.219000,28.9,4.03,8.3,191,397,451,-21.5,37.1,87.2,53.2,-53.9,33.3,13.2,20.8,684,0.995,,48,52
110,5:12:59.3 PM,0:02:03.846000,30.4,4.04,8,206,408,468,-19.9,40.2,88.1,54.1,-55.4,32.7,13.8,20.2,581,0.958,,48.5,51.5
111,5:13:01.3 PM,0:02:04.487000,29.4,4.02,7.9,228,465,514,-20.2,39.6,89.3,58.7,-55.6,33.6,11.6,19,600,0.961,,47.1,52.9
112,5:13:03.3 PM,0:02:04.361000,28.6,4.02,8.5,202,425,484,-21.8,38.1,87.1,53.9,-55,32.1,12.7,20.4,627,0.962,,45.8,54.2
113,5:13:05.4 PM,0:02:03.296000,29.6,4.06,8.3,180,365,427,-14.1,45.4,86.6,52,-53.4,33.2,15.2,19.4,648,0.975,,48.1,51.9
114,5:13:07.4 PM,0:02:03.918000,29.4,4.03,8.1,206,420,471,-15.4,45.2,86.7,54.7,-54.6,32.1,13.3,18.7,605,0.959,,47,53
115,5:13:09.5 PM,0:02:04.493000,30.5,4.02,7.9,152,300,395,-15.9,42.9,85.4,44.3,-52.6,32.8,16.1,25,576,0.903,,45.9,54.1
116,5:13:11.4 PM,0:02:03.070000,29.9,4.06,8.1,227,457,521,-16.7,43.5,87.4,56,-54.7,32.7,13.2,18.3,631,0.915,,45.6,54.4
117,5:13:13.4 PM,0:02:04.789000,29.4,4.01,7.8,211,429,488,-12.2,48.9,87.2,55.3,-54.9,32.3,12.6,19.3,592,0.915,,44.9,55.1
118,5:13:15.5 PM,0:02:05.759000,29.8,3.98,8,223,448,511,-18.1,41.9,88.6,57.9,-55.2,33.4,12.2,18.5,636,0.901,,44.8,55.2
119,5:13:17.5 PM,0:02:05.441000,29.9,3.99,8.2,114,230,301,-14,45.9,88,35.2,-54.4,33.6,27.2,25.6,679,0.929,,46.2,53.8
120,5:13:19.5 PM,0:02:05.449000,29.4,3.99,8.2,198,404,501,-16.4,43.8,86.2,55.4,-54.2,32,11.7,19,574,0.914,,44.8,55.2
121,5:13:21.5 PM,0:02:05.114000,29.4,4,8.5,174,355,423,-23.1,35.9,87.5,50.4,-54.6,32.9,13.6,23.5,624,0.928,,45.5,54.5
122,5:13:23.6 PM,0:02:03.633000,29.6,4.04,8.1,193,392,458,-16.5,43.5,88.3,52.5,-54.9,33.4,13.3,22.5,606,0.925,,45.7,54.3
123,5:13:25.6 PM,0:02:03.482000,30,4.05,8,137,273,346,-13.9,44.4,85.9,42.7,-52.1,33.8,19.6,23.6,662,0.933,,46.7,53.3
124,5:13:27.6 PM,0:02:02.898000,29.4,4.07,8.4,240,489,579,-18.2,43,89.8,59,-56.9,32.9,13.4,17.4,625,0.96,,47.1,52.9
125,5:13:29.6 PM,0:02:02.649000,29.4,4.08,8.2,189,386,455,-14.5,44.6,86.6,52.6,-53.1,33.4,14.5,19.5,632,0.991,,48.5,51.5
126,5:13:31.7 PM,0:02:03.412000,30.3,4.05,8.1,180,356,446,-10.7,49.1,84.6,51.6,-52.3,32.3,14.7,18.4,610,0.915,,46.3,53.7
127,5:13:33.7 PM,0:02:02.379000,29.6,4.09,8.4,198,402,463,-21,37.6,86.3,53,-53.4,32.9,13.2,20.1,606,0.96,,47.4,52.6
128,5:13:35.7 PM,0:02:02.535000,28.8,4.08,8.4,178,371,436,-22.7,36.8,86.7,51.1,-54.6,32.1,13.3,22.3,587,0.96,,46,54
129,5:13:37.8 PM,0:02:03.097000,30.3,4.06,8.2,198,393,449,-18.1,40.4,86.1,52.5,-52.9,33.2,12.3,21.3,637,0.96,,48.5,51.5
130,5:13:39.7 PM,0:02:03.128000,30,4.06,7.9,213,426,474,-17.2,43.3,87.3,56.5,-55,32.3,12,18.8,594,0.963,,48.2,51.8
131,5:13:41.7 PM,0:02:03.643000,30.1,4.04,7.9,218,434,511,-14.4,46.9,86.8,54.1,-55.1,31.7,12.3,20.4,571,0.93,,46.7,53.3
132,5:13:43.7 PM,0:02:04.653000,30.5,4.01,7.7,232,456,548,-16.9,42.7,86.8,55.9,-54,32.8,12.8,18.1,621,0.944,,48,52
133,5:13:45.7 PM,0:02:05.106000,30.3,4,7.8,163,322,398,-14.3,46.7,89.3,48.7,-56,33.3,19,21.6,594,1.005,,50.8,49.2
134,5:13:47.7 PM,0:02:05.678000,29.6,3.98,8,140,284,374,-18.3,40.2,87.8,43,-53.6,34.2,18.1,26.7,655,0.991,,48.9,51.1
135,5:13:49.7 PM,0:02:05.571000,29.9,3.98,8.2,240,481,556,-22.6,36.8,90.3,58.7,-55.8,34.4,12.8,18.8,605,0.93,,46.3,53.7
