Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,8,,,,,,,,,,,,,,,,,,,,
Start Time,4:53:02.2 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:04:00.2 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:10:58.0,,,,,,,,,,,,,,,,,,,,
Distance,2838 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,B,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
103,4:56:43.7 PM,0:01:58.849000,27.6,4.21,9.1,196,427,476,-2.8,57.7,89.4,59.2,-54.4,35.1,18,12.3,635,0.856,,39.4,60.6
104,4:56:45.9 PM,0:01:58.373000,28,4.22,9.4,229,492,601,1,62,93.7,64.1,-57.1,36.6,18.2,11.4,703,1.021,,47.6,52.4
105,4:56:48.0 PM,0:01:56.965000,27.8,4.27,9.3,231,499,606,-3.6,56.8,91.6,64.5,-55.7,35.9,15.5,11.6,713,0.915,,42.4,57.6
106,4:56:50.2 PM,0:01:56.733000,27.6,4.28,9.3,210,458,571,-2.3,60.4,86.8,57.5,-54.7,32,20,9.3,663,0.974,,44.8,55.2
107,4:56:52.3 PM,0:01:56.580000,27,4.29,9.4,218,484,582,-7.4,55.3,88.5,65.6,-56.4,32.1,13.2,9.7,635,0.9,,40.5,59.5
108,4:56:54.6 PM,0:01:57.391000,27.3,4.26,9,224,491,558,-6.6,55,93.5,68.1,-58.1,35.4,14.5,10.9,663,0.963,,43.9,56.1
109,4:56:56.8 PM,0:01:59.003000,26.7,4.2,9.7,164,370,460,-3.8,60.4,87.4,54.3,-56.6,30.8,22.5,10.6,685,1.021,,45.4,54.6
110,4:56:59.0 PM,0:01:57.543000,27.6,4.25,9.4,205,446,597,-0.2,62.8,86.9,56.4,-54.8,32.1,21.3,9.2,650,1.064,,48.9,51.1
111,4:57:01.2 PM,0:01:56.951000,28.2,4.28,9.1,201,429,498,0.8,65.4,88.8,56.7,-57.2,31.5,24,8,685,0.916,,43,57
112,4:57:03.3 PM,0:01:57.243000,27.8,4.26,8.4,218,471,543,1.9,64.2,88.8,63.2,-55.1,33.7,16.8,8.8,638,0.855,,39.6,60.4
113,4:57:05.5 PM,0:01:58.298000,27.9,4.23,9.4,183,393,433,0.9,62.2,93.5,61.5,-57.2,36.3,20,12,643,0.902,,42,58
114,4:57:07.6 PM,0:01:58.484000,26.2,4.22,9.8,246,564,645,-7.8,56,89.4,67.2,-57.9,31.5,14.5,7.7,657,1.034,,45.1,54.9
115,4:57:09.9 PM,0:01:58.701000,28,4.21,9.4,270,579,660,-7.6,55.9,88.6,67.6,-57.1,31.6,13.8,7.1,631,1.019,,47.5,52.5
116,4:57:12.1 PM,0:01:57.390000,28.2,4.26,9.3,221,470,562,-3.3,58.5,85.9,60.1,-53.6,32.3,17.2,8.6,659,1.035,,48.6,51.4
117,4:57:14.2 PM,0:01:53.721000,29.8,4.4,9,248,499,535,-8.6,53.2,91.7,65.9,-57.3,34.4,16.7,9.1,622,0.899,,44.7,55.3
118,4:57:16.2 PM,0:01:54.805000,28.2,4.36,8.9,241,513,546,-5.9,53.8,94,66.1,-56.4,37.6,16.2,11.6,676,0.869,,40.8,59.2
119,4:57:18.3 PM,0:01:55.158000,28,4.34,8.8,219,470,539,-6.9,55.7,91.9,66,-58.1,33.9,16.4,9.6,696,0.915,,42.7,57.3
120,4:57:20.5 PM,0:01:55.990000,27.8,4.31,9.7,228,493,568,-1.3,61.7,91.4,66.6,-57.7,33.7,15.2,9.6,724,0.975,,45.1,54.9
121,4:57:22.6 PM,0:01:56.498000,27.6,4.29,9.8,232,505,553,-6.7,55.2,91.3,66.1,-57.1,34.1,15.6,9.5,649,0.917,,42.1,57.9
122,4:57:24.8 PM,0:01:55.711000,27,4.32,10.2,174,385,500,0.8,65.9,89.6,55.6,-58.3,31.3,26.8,7.3,704,0.958,,43.2,56.8
123,4:57:27.0 PM,0:01:53.093000,28.2,4.42,9.4,229,488,553,-13.6,48.4,90.2,63.3,-57.2,33,15.8,11.2,702,0.931,,43.7,56.3
124,4:57:29.2 PM,0:01:51.190000,28.6,4.5,9.5,262,551,627,-4.1,57.8,92.9,67.9,-57.7,35.2,14.7,10.3,672,0.87,,41.4,58.6
125,4:57:31.3 PM,0:01:51.787000,28.1,4.47,9,266,566,610,-5.6,57.6,93.6,71.4,-59.6,34.1,15.7,6.6,624,0.917,,43,57
126,4:57:33.4 PM,0:01:52.281000,27.8,4.45,9.6,254,550,598,-5.9,57.5,89.2,66.6,-57.2,31.9,16,6.6,659,0.93,,43.1,56.9
127,4:57:35.5 PM,0:01:53.353000,29.5,4.41,9.3,233,474,549,-5.4,57.3,91.8,65.2,-58,33.8,16.3,10.2,682,0.924,,45.4,54.6
128,4:57:37.6 PM,0:01:52.677000,27.9,4.44,10.3,266,570,680,-4.7,58.3,88.4,65,-56.3,32.1,14.8,8.7,692,0.943,,43.9,56.1
129,4:57:39.7 PM,0:01:51.348000,29.2,4.49,9.5,197,406,515,3.5,65.8,88.3,54.1,-54.6,33.7,26.4,7.8,693,0.855,,41.6,58.4
130,4:57:41.8 PM,0:01:49.506000,28,4.57,9.7,227,487,572,-2.2,59.7,91.4,62,-56.8,34.6,17.8,11.6,662,0.916,,42.7,57.3
131,4:57:43.9 PM,0:01:48.520000,28,4.61,10,215,461,561,-3.5,60.7,88.5,64,-57.2,31.3,16.8,7.7,662,0.932,,43.4,56.6
132,4:57:46.1 PM,0:01:47.812000,28.4,4.64,9.7,227,479,567,-2.3,61.5,87.4,62,-56.1,31.3,19.5,5.9,637,0.91,,43.1,56.9
133,4:57:48.2 PM,0:01:48.493000,30.1,4.61,8.9,278,556,609,-6,55.1,90.1,66.8,-55.7,34.4,13.9,9.4,697,0.855,,42.8,57.2
134,4:57:50.2 PM,0:01:50.122000,27.4,4.54,9.4,237,519,583,-3.9,59.8,87.8,64.3,-56.4,31.4,14.3,9.2,654,0.886,,40.4,59.6
135,4:57:52.4 PM,0:01:51.620000,27.4,4.48,9.3,210,460,511,-5.1,60,90.6,63.6,-59.4,31.1,17.2,9.7,700,0.93,,42.5,57.5
