Athlete,Unspecified,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,10,,,,,,,,,,,,,,,,,,,,
Start Time,5:09:17.9 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:21:18.7 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:12:00.7,,,,,,,,,,,,,,,,,,,,
Distance,3015 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,S,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
80,5:11:57.8 PM,0:02:04.574000,29.2,4.01,7.9,148,305,396,-15.4,45,76.9,48,-50,26.9,13.4,15.4,668,0.973,,47.4,52.6
81,5:11:59.9 PM,0:02:07.172000,30.1,3.93,7.4,153,304,410,-21.4,38.2,78.2,46.2,-51.3,26.9,14.1,17.9,676,0.989,,49.6,50.4
82,5:12:01.9 PM,0:02:09.178000,29.6,3.87,8.4,158,321,426,-15.6,45.1,76.9,45,-50.2,26.7,14.7,17.2,637,0.913,,45.1,54.9
83,5:12:03.9 PM,0:02:08.778000,30.3,3.88,7.7,153,303,407,-19.5,38.9,74.8,46.2,-48.6,26.2,15.3,13.3,697,0.915,,46.2,53.8
84,5:12:05.9 PM,0:02:08.057000,29.6,3.9,8,162,329,425,-15.7,45.6,76.8,47.8,-50.7,26.1,13.8,15.1,610,0.989,,48.8,51.2
85,5:12:07.9 PM,0:02:06.942000,30.1,3.94,7.8,184,367,459,-15.8,46.5,77.8,49.7,-52,25.8,13.7,14.4,641,0.974,,48.8,51.2
86,5:12:09.9 PM,0:02:04.648000,29.6,4.01,8.3,186,376,481,-19.9,41.7,78.3,49.6,-52.6,25.7,15.4,13.3,625,0.991,,48.9,51.1
87,5:12:11.9 PM,0:02:04.850000,30.1,4,8.2,196,390,482,-18.7,42.4,77.9,51.1,-51.7,26.1,13.3,13.5,629,1.006,,50.5,49.5
88,5:12:13.9 PM,0:02:03.037000,29.6,4.06,8.9,177,358,455,-21.2,40,78.5,48.9,-52.6,25.9,14.5,15.1,643,1.006,,49.6,50.4
89,5:12:16.0 PM,0:02:00.864000,29.9,4.14,8.4,183,368,462,-20.5,40.7,78,50.8,-52.2,25.8,11,16.2,663,0.928,,46.2,53.8
90,5:12:18.0 PM,0:01:59.685000,29.6,4.18,8.3,168,341,457,-20.4,41.9,80.2,46.8,-54,26.2,16.1,17.3,649,1.003,,49.6,50.4
91,5:12:20.0 PM,0:02:00.582000,28.6,4.15,8.5,161,338,437,-21.2,40.5,80.9,49.6,-54.1,26.9,13.9,17.5,611,1.08,,51.4,48.6
92,5:12:22.1 PM,0:02:01.251000,29.2,4.12,8.4,175,360,431,-14.4,47.9,79.6,53.8,-52.6,27,12.8,13,642,1.078,,52.5,47.5
93,5:12:24.2 PM,0:02:03.792000,29.4,4.04,8.1,182,372,471,-20,41.9,78.8,53,-53,25.8,12,13.7,674,1.049,,51.4,48.6
94,5:12:26.2 PM,0:02:05.764000,29,3.98,8.1,168,348,435,-17.6,43.7,78.8,49.4,-52,26.8,12.5,16.9,690,1.066,,51.4,48.6
95,5:12:28.3 PM,0:02:05.649000,29.2,3.98,8.5,155,319,442,-17.7,42.4,77.1,45.5,-50.4,26.6,14.1,17.5,675,1.033,,50.3,49.7
96,5:12:30.3 PM,0:02:04.257000,30.3,4.02,8.7,204,405,491,-22.1,40.2,82.3,53.9,-55.2,27.1,16.4,12,593,1.008,,50.9,49.1
97,5:12:32.3 PM,0:02:04.056000,29.4,4.03,8.2,203,415,492,-23.3,37.1,79.9,51.5,-52.9,26.9,15.4,12.9,581,1.02,,50,50
98,5:12:34.3 PM,0:02:01.876000,30.1,4.1,8.7,197,394,505,-19.4,41.4,79.1,51.3,-52.1,26.9,13.3,14.5,617,0.977,,49,51
99,5:12:36.3 PM,0:02:01.341000,29.7,4.12,8.2,170,344,437,-19.7,39.7,78.2,49,-50.8,27.4,13.9,15.3,658,0.973,,48.1,51.9
100,5:12:38.4 PM,0:02:01.181000,29.2,4.13,8.6,158,324,436,-17.7,43.8,80.6,47.7,-53.1,27.6,17.3,15.7,617,0.914,,44.5,55.5
101,5:12:40.4 PM,0:02:01.876000,29.6,4.1,8.6,190,384,501,-22.9,37.2,81.6,50.6,-53.2,28.4,14.9,16,639,1.035,,51.1,48.9
102,5:12:42.4 PM,0:02:02.306000,29.4,4.09,8.7,178,363,446,-19.8,40.7,80.6,52.2,-52.6,28,14.3,14.2,667,1.02,,50,50
103,5:12:44.5 PM,0:02:02.816000,29.8,4.07,8.3,210,423,554,-20.4,40.5,81.6,53,-53.5,28.1,14.4,14.2,669,1.004,,49.9,50.1
104,5:12:46.5 PM,0:02:01.512000,29.4,4.11,8.5,185,378,485,-16.1,45.7,79.8,52.5,-52.5,27.3,13.7,13.6,637,1.035,,50.7,49.3
105,5:12:48.5 PM,0:02:01.141000,29.6,4.13,8.4,138,279,404,-15.1,45,78.1,42.5,-50.3,27.8,17.8,17.9,679,1.02,,50.4,49.6
106,5:12:50.6 PM,0:02:00.841000,29.6,4.14,8,161,325,439,-14.2,46.2,78.8,47.5,-50.6,28.1,15.6,15.7,676,1.003,,49.6,50.4
107,5:12:52.6 PM,0:02:02.465000,29.2,4.08,8.2,163,336,446,-20.6,38.7,79.4,49.9,-51.4,28,13.9,15.6,654,1.006,,48.9,51.1
108,5:12:54.6 PM,0:02:02.755000,29.4,4.07,8.1,176,359,470,-16.5,44.1,79.6,50.2,-51.6,28,15.7,13.7,647,1.004,,49.3,50.7
109,5:12:56.7 PM,0:02:04.852000,29.4,4,7.8,190,388,484,-19.6,41.1,80.4,53.7,-52.6,27.8,13.4,13.3,643,1.02,,50,50
110,5:12:58.7 PM,0:02:07.277000,29.6,3.93,7.8,169,342,432,-15.4,45.6,78.3,49.6,-51.1,27.2,17,11.6,656,1.007,,49.7,50.3
111,5:13:00.7 PM,0:02:06.959000,29,3.94,8.4,160,330,396,-16,45.7,79.5,50.9,-52.3,27.2,14.8,13.8,699,1.049,,50.7,49.3
112,5:13:02.8 PM,0:02:07.934000,29.6,3.91,7.7,199,404,515,-20.3,40.2,79.9,51.4,-52.4,27.4,12.7,15.8,662,1.019,,50.3,49.7
113,5:13:04.8 PM,0:02:08.031000,29.4,3.91,8.2,200,407,506,-17.1,44.1,79.5,52.2,-52.1,27.4,13.9,13.4,627,1.004,,49.2,50.8
